uid,title,description,image_url,notes,url,audio_url,collection,vendor,vendor_identifier,can_download
patricia-marx-interviews-al-hirschfeld,Patricia Marx Interviews: Al Hirschfeld,"Patricia Marx Interviews: Al Hirschfeld, 1968-09-12",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-al-hirschfeld.mp3,wnyc,pop_up_archive,80466,1
patricia-marx-interviews-anthony-lewis,Patricia Marx Interviews: Anthony Lewis,"Patricia Marx Interviews: Anthony Lewis, 1967-04-07",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-anthony-lewis.mp3,wnyc,pop_up_archive,80467,1
patricia-marx-interviews-arthur-c-clarke,Patricia Marx Interviews: Arthur C. Clarke,"Patricia Marx Interviews: Arthur C. Clarke, 1968-07-11",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-arthur-c-clarke.mp3,wnyc,pop_up_archive,80468,1
patricia-marx-interviews-bob-hope,Patricia Marx Interviews: Bob Hope,"Patricia Marx Interviews: Bob Hope,1963-06-10",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-bob-hope.mp3,wnyc,pop_up_archive,80469,1
patricia-marx-interviews-dick-gregory,Patricia Marx Interviews: Dick Gregory,"Patricia Marx Interviews: Dick Gregory, 1964-11-03",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-dick-gregory.mp3,wnyc,pop_up_archive,80470,1
patricia-marx-interviewsgunter-grass,Patricia Marx Interviews:Gunter Grass,"Patricia Marx Interviews:Gunter Grass, 1964-07-28",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviewsgunter-grass.mp3,wnyc,pop_up_archive,80471,1
patricia-marx-interviews-herman-kahn,Patricia Marx Interviews: Herman Kahn,Patricia Marx Interviews: Herman Kahn,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-herman-kahn.mp3,wnyc,pop_up_archive,80472,1
patricia-marx-interviews-howard-zinn,Patricia Marx Interviews: Howard Zinn,"Patricia Marx Interviews: Howard Zinn, no date",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-howard-zinn.mp3,wnyc,pop_up_archive,80473,1
patricia-marx-interviews-jacques-cousteau,Patricia Marx Interviews: Jacques Cousteau,Patricia Marx Interviews: Jacques Cousteau,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-jacques-cousteau.mp3,wnyc,pop_up_archive,80474,1
patricia-marx-interviews-james-dickey,Patricia Marx Interviews: James Dickey,"Patricia Marx Interviews: James Dickey,1966-10-13",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-james-dickey.mp3,wnyc,pop_up_archive,80475,1
patricia-marx-interviews-john-simon,Patricia Marx Interviews: John Simon,"Patricia Marx Interviews: John Simon, 1968-10-03",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-john-simon.mp3,wnyc,pop_up_archive,80476,1
patricia-marx-interviews-lorraine-hansberry,Patricia Marx Interviews: Lorraine Hansberry,"Patricia Marx Interviews: Lorraine Hansberry, 1961-08-04",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-lorraine-hansberry.mp3,wnyc,pop_up_archive,80477,1
patricia-marx-interviews-mort-sahl,Patricia Marx Interviews: Mort Sahl,"Patricia Marx Interviews: Mort Sahl, 1964-03-25",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-mort-sahl.mp3,wnyc,pop_up_archive,80478,1
patricia-marx-interviews-theodore-sorensen,Patricia Marx Interviews: Theodore Sorensen,"Patricia Marx Interviews: Theodore Sorensen, no date",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-theodore-sorensen.mp3,wnyc,pop_up_archive,80479,1
patricia-marx-interviews-thomas-wilfred,Patricia Marx Interviews: Thomas Wilfred,"Patricia Marx Interviews: Thomas Wilfred, 1968-07-18",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-thomas-wilfred.mp3,wnyc,pop_up_archive,80480,1
patricia-marx-interviews-walter-karp,Patricia Marx Interviews: Walter Karp,"Patricia Marx Interviews: Walter Karp, no date",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-walter-karp.mp3,wnyc,pop_up_archive,80481,1
patricia-marx-interviews-wolf-von-eckardt,Patricia Marx Interviews: Wolf Von Eckardt,"Patricia Marx Interviews: Wolf Von Eckardt, 1968-02-01",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-wolf-von-eckardt.mp3,wnyc,pop_up_archive,80482,1
patricia-marx-interviews-woody-allen,Patricia Marx Interviews: Woody Allen,"Patricia Marx Interviews: Woody Allen, 1964-11-24",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/wnyc-logo.png,,,https://s3.amazonaws.com/openaudio/audio/patricia-marx-interviews-woody-allen.mp3,wnyc,pop_up_archive,80483,1
conversation-with-13-year-old-white-male-west-virginia,"Conversation with 13 year old white male, West Virginia",Child describing his trickery,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000059/,https://stream-media.loc.gov/afc/cal/afc1986022_sr08a02.mp3,loc,pop_up_archive,80484,1
conversation-with-37-year-old-white-female-asheville-north-carolina,"Conversation with 37 year old white female, Asheville, North Carolina","Farm and doestic life, specifics on hay",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000345/,https://stream-media.loc.gov/afc/cal/afc1986022_sr51b01.mp3,loc,pop_up_archive,80485,1
speech-by-amelia-earnhardt,Speech by Amelia Earnhardt,The advancements of women and technology,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000004/,https://stream-media.loc.gov/afc/cal/afc1986022_sr01a04.mp3,loc,pop_up_archive,80486,1
conversation-with-two-eleven-year-old-native-american-males-new-mexico,"Conversation with two eleven year old Native American males, New Mexico",Laguna indian children,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000042/,https://stream-media.loc.gov/afc/cal/afc1986022_sr06a01.mp3,loc,pop_up_archive,80487,1
interview-with-70-year-old-white-female-and-15-year-old-boy,Interview with 70+ year old white female and 15 year old boy,Folktales and ghost stories,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000019/,https://stream-media.loc.gov/afc/cal/afc1986022_sr02b03.mp3,loc,pop_up_archive,80488,1
conversation-with-23-year-old-female-reiholds-pennsylvania,"Conversation with 23 year old female, Reiholds, Pennsylvania",Beauty shops and working life,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000323/,https://stream-media.loc.gov/afc/cal/afc1986022_sr48a01.mp3,loc,pop_up_archive,80489,1
oral-history-with-54-year-old-black-female-grand-junction-colorado,"Oral history with 54 year old black female, Grand Junction, Colorado; and a 61 year old black female","African American churches, Men and Female life in Grand Junction",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000068/,https://stream-media.loc.gov/afc/cal/afc1986022_sr09b01.mp3,loc,pop_up_archive,80490,1
oral-history-with-83-year-old-black-female-beachton-georgia,"Oral history with 83 year old black female, Beachton, Georgia","Daily life and interpersonal relationships; Women, Balck",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000313/,https://stream-media.loc.gov/afc/cal/afc1986022_sr46b02.mp3,loc,pop_up_archive,80491,1
oral-history--with-100-year-old-female-cairo-georgia,"Oral history  with 100 year old female, Cairo, Georgia",Life in rural Georgia,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000322/,https://stream-media.loc.gov/afc/cal/afc1986022_sr47b03.mp3,loc,pop_up_archive,80492,1
conversation-with-12-year-old-black-female-washington-dc,"Conversation with 12 year old black female, Washington, DC","Games, school life, young African Americans",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000392/,https://stream-media.loc.gov/afc/cal/afc1986022_sr58a05.mp3,loc,pop_up_archive,80493,1
conversation-with-15-year-old-male-new-york-new-york,"Conversation with 15 year old male, New York, New York","Young Puerto Rican men, games, boxing (NYC)",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000055/,https://stream-media.loc.gov/afc/cal/afc1986022_sr07b02.mp3,loc,pop_up_archive,80494,1
conversation-with-hugo-black-harlan-alabama,"Conversation with Hugo Black, Harlan, Alabama","White male, Constitutional Law",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000209/,https://stream-media.loc.gov/afc/cal/afc1986022_sr33a03.mp3,loc,pop_up_archive,80495,1
monologue-with-55-year-old-white-female,Monologue with 55 year old white female,"Catholics, Vietnamese members of the church, White Women",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000263/,https://stream-media.loc.gov/afc/cal/afc1986022_sr39a07.mp3,loc,pop_up_archive,80496,1
descriptions-of-pictures-female-puerto-rico,"Descriptions of pictures, female, Puerto Rico",Picture interpretations,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000275/,https://stream-media.loc.gov/afc/cal/afc1986022_sr40a04.mp3,loc,pop_up_archive,80497,1
conversation-with-8-and-9-year-old-black-females-female-florida,"Conversation with 8 and 9 year old black females, female, Florida","Church, games, family life, playing with dolls",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000154/,https://stream-media.loc.gov/afc/cal/afc1986022_sr24b01.mp3,loc,pop_up_archive,80498,1
conversation-with-41-year-old-white-female-rhodes-point-maryland,"Conversation with 41 year old white female, Rhodes Point, Maryland","Agriculture, raising children, fisheries, winter",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000186/,https://stream-media.loc.gov/afc/cal/afc1986022_sr30b02.mp3,loc,pop_up_archive,80499,1
conversation-with-22-year-old-white-female-toronto-ontario,"Conversation with 22 year old white female, Toronto, Ontario","Family hisotry, likes and dislikes, young women",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000353/,https://stream-media.loc.gov/afc/cal/afc1986022_sr52b01.mp3,loc,pop_up_archive,80500,1
conversation-with-several-males-north-carolina,"Conversation with several males, North Carolina","Auctioneers, Tobacco workers, social life and customs in North Carolina",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000109/,https://stream-media.loc.gov/afc/cal/afc1986022_sr16a01.mp3,loc,pop_up_archive,80501,1
oral-book-reports--with-14-year-old-male-new-haven-connecticut,"Oral book reports  with 14 year old male, New Haven, Connecticut",High school students education,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000199/,https://stream-media.loc.gov/afc/cal/afc1986022_sr32a03.mp3,loc,pop_up_archive,80502,1
oral-book-reports--with-15-year-old-black-female-new-haven-connecticut,"Oral book reports  with 15 year old black female, New Haven, Connecticut","High school student, dating (social cutoms), prejudices",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000201/,https://stream-media.loc.gov/afc/cal/afc1986022_sr32a05.mp3,loc,pop_up_archive,80503,1
speech-by-eleanor-a-roosevelt,Speech by Eleanor A. Roosevelt,"World War, 1939-1945, Christmas, spiritual life, coffee",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000100/,https://stream-media.loc.gov/afc/cal/afc1986022_sr14a02.mp3,loc,pop_up_archive,80504,1
conversation-with-52-year-old-man-zuni-new-mexico,"Conversation with 52 year old man, Zuni, New Mexico","Medicine and magic, Alcohol use, Counseling, Handicraft",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000380/,https://stream-media.loc.gov/afc/cal/afc1986022_sr56b03.mp3,loc,pop_up_archive,80505,1
conversation-with-14-year-old-black-male-new-york-new-york,"Conversation with 14 year old black male, New York, New York","Motion pictures, Black youth, Television programs",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000057/,https://stream-media.loc.gov/afc/cal/afc1986022_sr07b04.mp3,loc,pop_up_archive,80506,1
personal-history-with-80-year-old-female-cedar-valley-minnesota,"Personal history with 80 year old female, Cedar Valley, Minnesota","Genealogy, Amusements, Finnish Americans, Farm life, Lumber camps",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000302/,https://stream-media.loc.gov/afc/cal/afc1986022_sr45a01.mp3,loc,pop_up_archive,80507,1
conversation-with-41-year-old-black-male-detroit-michigan,"Conversation with 41 year old black male, Detroit, Michigan","Childhood games, teacher student relationships, Hobbies, Vietnam War, Communism, African American men in Michigan Detroit",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000122/,https://stream-media.loc.gov/afc/cal/afc1986022_sr18b01.mp3,loc,pop_up_archive,80508,1
monologue-with-93-year-old-white-male-tangier-island-virginia,"Monologue with 93 year old white male, Tangier Island, Virginia","White men in Virginia, Fishers, Chesapeake Bay Regio",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000268/,https://stream-media.loc.gov/afc/cal/afc1986022_sr39b05.mp3,loc,pop_up_archive,80509,1
conversation-with-17-year-old-black-male-wilmington-north-carolina,"Conversation with 17 year old black male, Wilmington, North Carolina","Girls, Birthdays, Invective, Youth and violence",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000342/,https://stream-media.loc.gov/afc/cal/afc1986022_sr51a03.mp3,loc,pop_up_archive,80510,1
conversation-and-reading-with-university-of-nebraska-students,Conversation and reading with University of Nebraska students,"College students, language surveys",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000194/,https://stream-media.loc.gov/afc/cal/afc1986022_sr31b03.mp3,loc,pop_up_archive,80511,1
conversation-with-32-year-old-male-arizona,"Conversation with 32 year old male, Arizona","Racism, Navajo Indians, Indian reservation (police, social life, and customs), Medical care",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000376/,https://stream-media.loc.gov/afc/cal/afc1986022_sr56a01.mp3,loc,pop_up_archive,80512,1
conversation-with-english-instructors-nebraska,"Conversation with English instructors, Nebraska","Poetry, Men-- Nebraska, Women-- Nebraska, Ben Johnson, Barron Alfred Tennyson",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000191/,https://stream-media.loc.gov/afc/cal/afc1986022_sr31a04.mp3,loc,pop_up_archive,80513,1
conversation-with-12-year-old-white-female-arkansas,"Conversation with 12 year old white female, Arkansas","White Children in Arkansas, Christmas, Canning and preserving, Diseases, Ozark Mountains Region",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000229/,https://stream-media.loc.gov/afc/cal/afc1986022_sr36a01.mp3,loc,pop_up_archive,80514,1
conversation-with-7-year-old-black-male-detroit-michigan,"Conversation with 7 year old black male, Detroit, Michigan","African American boys-- Michigan, Reading ability test",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000189/,https://stream-media.loc.gov/afc/cal/afc1986022_sr31a02.mp3,loc,pop_up_archive,80515,1
monologue-with-45-year-old-black-male-columbia-south-carolina,"Monologue with 45 year old black male, Columbia, South Carolina","Lawyer, Black men-- South Carolina, Ex-convicts, Veterans",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000260/,https://stream-media.loc.gov/afc/cal/afc1986022_sr39a04.mp3,loc,pop_up_archive,80516,1
conversation-with-52-year-old-black-male-meadville-mississippi,"Conversation with 52 year old black male, Meadville, Mississippi","Farm life-- Mississippi, Logging, timber, Race relations, Justivce, African American men",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000215/,https://stream-media.loc.gov/afc/cal/afc1986022_sr34a03.mp3,loc,pop_up_archive,80517,1
oral-history-with-88-year-old-white-male-frutia-colorado,"Oral history with 88 year old white male Frutia, Colorado","Frontier and pioneer life, Mesa County (Colo.), Horse training, Floods, Health (Anecdotes)",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000073/,https://stream-media.loc.gov/afc/cal/afc1986022_sr10a03.mp3,loc,pop_up_archive,80518,1
reading-sample-of-woman-charleston-south-carolina,"Reading sample of woman, Charleston, South Carolina","Poetry readings, White women in South Carolina",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000013/,https://stream-media.loc.gov/afc/cal/afc1986022_sr01b07.mp3,loc,pop_up_archive,80519,1
personal-history-with-55-year-old-female-chishold-minnesota,"Personal history with 55 year old female, Chishold, Minnesota","Housekeepers in Chisholm Minnesota, Traditional medicine, Occupations, Russian Americans, Gallbladder disease",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000306/,https://stream-media.loc.gov/afc/cal/afc1986022_sr45b02.mp3,loc,pop_up_archive,80520,1
conversation-with-17-year-old-male-virginia,"Conversation with 17 year old male, Virginia","Vietnamese Americans, Immigrants-- Virginia",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000225/,https://stream-media.loc.gov/afc/cal/afc1986022_sr35b01.mp3,loc,pop_up_archive,80521,1
speech-by-franklin-d-roosevelt-new-york,"Speech by Franklin D. Roosevelt, New York","Address to Congress requesting a declaration of war, Dec. 8, 1941; World War 1 Aerial operations",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000099/,https://stream-media.loc.gov/afc/cal/afc1986022_sr14a01.mp3,loc,pop_up_archive,80522,1
conversation-with-12-year-old-white-female-detroit-michigan,"Conversation with 12 year old white female, Detroit, Michigan","Halloween, Games, Polish Americans, Catholic School, Friendship in children, Girls' clothing, Dreams",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000127/,https://stream-media.loc.gov/afc/cal/afc1986022_sr19b02.mp3,loc,pop_up_archive,80523,1
oral-history-with-17-year-old-white-female-jackson-kentucky,"Oral history with 17 year old white female, Jackson, Kentucky","Appalachian Region-- Social life and customs, High school dropouts, Teenage attitudes, Coal miners, Church attendance",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000133/,https://stream-media.loc.gov/afc/cal/afc1986022_sr20b02.mp3,loc,pop_up_archive,80524,1
monologue-with-60-year-old-black-female-alabama,"Monologue with 60 year old black female, Alabama","Black women in Alabama, Narratives, Relationships with sons",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000240/,https://stream-media.loc.gov/afc/cal/afc1986022_sr38a03.mp3,loc,pop_up_archive,80525,1
speech-by-fiorello-h-la-guardia-new-york,"Speech by Fiorello H. La Guardia, New York","Municipal government, Political corruption, Italian Americans, New York politics and government",https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/loc-cal-logo.png,,https://www.loc.gov/item/afccal000001/,https://stream-media.loc.gov/afc/cal/afc1986022_sr01a01.mp3,loc,pop_up_archive,80526,1
live-from-the-nypl-gloria-steinem--roberta-kaplan,LIVE from the NYPL: Gloria Steinem & Roberta Kaplan,,https://s3.amazonaws.com/togetherwelisten.nypl.org/img/hack/logos/nypl-live.png,,http://www.nypl.org/audiovideo/gloria-steinem-roberta-kaplan?nref=90281,http://media.nypl.org/audio/LIVE_2015-10-26_Steinem_and_Kaplan.mp3,nypl-live,pop_up_archive,80527,1
